Date,Open,High,Low,Close,Adj Close,Volume,Volume_Surge,MA,BB_Upper,BB_Lower,BB_Width,Price_Range,Recent_Rise,IsSideways,Trend,Sideways_Marker,Trend_Up,Trend_Down,Trend_Up_Strong,Trend_Down_Strong
2024-04-01,4.119999885559082,4.239999771118164,4.119999885559082,4.21999979019165,4.21999979019165,9655166,False,,,,,,,False,0,,,,,
2024-04-02,4.21999979019165,4.28000020980835,4.199999809265137,4.269999980926514,4.269999980926514,11563393,False,,,,,,,False,1,,4.269999980926514,,,
2024-04-03,4.300000190734863,4.300000190734863,4.199999809265137,4.21999979019165,4.21999979019165,8330948,False,,,,,,,False,0,,,,,
2024-04-08,4.239999771118164,4.25,4.159999847412109,4.170000076293945,4.170000076293945,11488446,False,,,,,,-0.011848274024543137,False,-1,,,4.170000076293945,,
2024-04-09,4.190000057220459,4.269999980926514,4.170000076293945,4.239999771118164,4.239999771118164,9776590,False,,,,,,-0.007025810290949952,False,0,,,,,
2024-04-10,4.260000228881836,4.260000228881836,4.110000133514404,4.139999866485596,4.139999866485596,9101800,False,,,,,,-0.018957328834943277,False,-1,,,4.139999866485596,,
2024-04-11,4.139999866485596,4.389999866485596,4.099999904632568,4.300000190734863,4.300000190734863,24865328,False,,,,,,0.031175086825526943,False,0,,,,,
2024-04-12,4.260000228881836,4.289999961853027,4.199999809265137,4.210000038146973,4.210000038146973,15264492,False,,,,,,-0.007075409101562236,False,-1,,,4.210000038146973,,
2024-04-15,4.170000076293945,4.21999979019165,3.9700000286102295,4.059999942779541,4.059999942779541,22530452,False,,,,,,-0.019323653692280396,False,-2,,,,,4.059999942779541
2024-04-16,3.9800000190734863,4.0,3.680000066757202,3.690000057220459,3.690000057220459,25326865,True,,,,,,-0.14186048987364264,False,-3,,,,,3.690000057220459
2024-04-17,3.740000009536743,4.050000190734863,3.740000009536743,4.039999961853027,4.039999961853027,22439568,True,,,,,,-0.04038006526213023,False,-2,,,,,4.039999961853027
2024-04-18,4.090000152587891,4.210000038146973,4.019999980926514,4.130000114440918,4.130000114440918,23706535,True,,,,,,0.01724142183446764,False,-1,,,4.130000114440918,,
2024-04-19,4.130000114440918,4.239999771118164,4.039999961853027,4.050000190734863,4.050000190734863,17036131,True,,,,,,0.0975610102796527,False,-2,,,,,4.050000190734863
2024-04-22,4.0,4.070000171661377,3.9200000762939453,3.9700000286102295,3.9700000286102295,11958800,False,,,,,,-0.017326716312811796,False,-3,,,,,3.9700000286102295
2024-04-23,4.019999980926514,4.039999961853027,3.930000066757202,4.0,4.0,14646725,False,,,,,,-0.03147702441614009,False,-2,,,,,4.0
2024-04-24,4.079999923706055,4.110000133514404,4.019999980926514,4.090000152587891,4.090000152587891,9675467,False,,,,,,0.009876533325735348,False,-1,,,4.090000152587891,,
2024-04-25,4.070000171661377,4.210000038146973,4.010000228881836,4.099999904632568,4.099999904632568,13345923,False,,,,,,0.03274556047493227,False,0,,,,,
2024-04-26,4.130000114440918,4.179999828338623,4.059999942779541,4.179999828338623,4.179999828338623,12359035,False,,,,,,0.04499995708465576,False,1,,4.179999828338623,,,
2024-04-29,4.170000076293945,4.320000171661377,4.159999847412109,4.320000171661377,4.320000171661377,16692300,False,,,,,,0.056234721391870135,False,2,,,,4.320000171661377,
