Date,Open,High,Low,Close,Adj Close,Volume,MA,BB_Upper,BB_Lower,BB_Width,Price_Range,IsSideways,Sideways_Marker
2024-04-01,48.79999923706055,51.47999954223633,48.099998474121094,50.9900016784668,50.58232879638672,2230635,,,,,,False,
2024-04-02,50.9900016784668,51.470001220703125,50.119998931884766,51.040000915527344,50.631927490234375,1751379,,,,,,False,
2024-04-03,51.040000915527344,52.959999084472656,50.970001220703125,52.459999084472656,52.04057312011719,2649496,,,,,,False,
2024-04-08,52.11000061035156,52.20000076293945,49.81999969482422,49.880001068115234,49.481201171875,2182028,,,,,,False,
2024-04-09,49.709999084472656,51.810001373291016,49.709999084472656,51.810001373291016,51.39577102661133,1383523,,,,,,False,
2024-04-10,51.790000915527344,53.630001068115234,51.459999084472656,53.2599983215332,52.83417510986328,2606565,,,,,,False,
2024-04-11,52.45000076293945,55.34000015258789,52.099998474121094,54.779998779296875,54.34202194213867,3583957,,,,,,False,
2024-04-12,56.0,58.5,55.5,56.65999984741211,56.206993103027344,6316625,,,,,,False,
2024-04-15,56.38999938964844,56.869998931884766,52.0,53.04999923706055,52.6258544921875,5765070,,,,,,False,
2024-04-16,52.560001373291016,54.040000915527344,51.040000915527344,53.599998474121094,53.17145538330078,4063130,,,,,,False,
2024-04-17,53.849998474121094,55.279998779296875,52.599998474121094,55.150001525878906,54.709068298339844,4001058,,,,,,False,
2024-04-18,54.189998626708984,54.470001220703125,52.7400016784668,52.84000015258789,52.41753387451172,2568392,,,,,,False,
2024-04-19,52.209999084472656,54.209999084472656,52.209999084472656,53.20000076293945,52.774658203125,1796300,,,,,,False,
2024-04-22,53.20000076293945,55.52000045776367,52.220001220703125,55.04999923706055,54.60986328125,3045987,,,,,,False,
2024-04-23,55.04999923706055,55.04999923706055,52.5,53.25,52.824256896972656,3408212,,,,,,False,
2024-04-24,53.25,53.4900016784668,52.2599983215332,52.81999969482422,52.3976936340332,1902600,,,,,,False,
2024-04-25,53.0099983215332,53.68000030517578,52.15999984741211,52.97999954223633,52.55641555786133,1842261,,,,,,False,
2024-04-26,52.939998626708984,53.380001068115234,51.0099983215332,52.70000076293945,52.278656005859375,3601140,,,,,,False,
2024-04-29,52.16999816894531,55.20000076293945,52.060001373291016,54.95000076293945,54.51066589355469,3394341,,,,,,False,
2024-04-30,54.220001220703125,55.33000183105469,54.02000045776367,54.79999923706055,54.36186218261719,2146500,53.26350002288818,56.54174187594367,49.98525816983269,0.12309524727615638,0.024594729462541647,True,54.79999923706055
2024-05-06,55.52000045776367,60.060001373291016,55.34000015258789,58.41999816894531,57.952919006347656,3901271,53.63499984741211,57.46584603233674,49.80415366248748,0.14284874413435725,0.08800226035482808,True,58.41999816894531
2024-05-07,58.599998474121094,60.79999923706055,58.599998474121094,60.18000030517578,59.698848724365234,3259639,54.09199981689453,58.717651382563275,49.46634825122578,0.17102904611872086,0.040671462885207066,True,60.18000030517578
2024-05-08,60.08000183105469,63.0,58.34000015258789,61.349998474121094,60.859493255615234,3642000,54.53649978637695,60.11272021155658,48.96027936119732,0.2044949876512812,0.08544735847855353,True,61.349998474121094
2024-05-09,61.0,65.8499984741211,60.0,64.8499984741211,64.33151245117188,3603031,55.28499965667724,62.10876380305401,48.461235510300476,0.24685770783224026,0.10581529366826249,True,64.8499984741211
2024-05-10,64.5999984741211,65.69999694824219,62.4900016784668,63.11000061035156,62.60542297363281,3021400,55.849999618530276,63.304399577623734,48.39559965943682,0.2669435992841149,0.05747529618085006,True,63.11000061035156
2024-05-13,62.2599983215332,62.599998474121094,59.77000045776367,62.0,61.50429916381836,2938015,56.28699970245361,64.11735078108927,48.45664862381795,0.27822947110447344,0.05027800435833248,True,62.0
2024-05-14,61.61000061035156,68.19999694824219,61.33000183105469,68.19999694824219,67.65472412109375,4636409,56.95799961090088,66.38234685478079,47.53365236702097,0.33092269069352065,0.12061510523752118,False,
2024-05-15,68.5,72.43000030517578,67.33000183105469,68.54000091552734,67.99201202392578,4769092,57.55199966430664,68.30163127332114,46.80236805529215,0.3735624017137789,0.08861548693127475,True,68.54000091552734
2024-05-16,68.80000305175781,68.87000274658203,65.25,66.0999984741211,65.57151794433594,3834560,58.20449962615967,69.37937186625392,47.02962738606542,0.38398654096741924,0.06219455144933576,True,66.0999984741211
2024-05-17,66.0999984741211,68.80000305175781,65.5999984741211,68.1500015258789,67.60513305664062,3107068,58.93199977874756,70.72223528601039,47.14176427148474,0.400130168720821,0.05429994891825689,True,68.1500015258789
2024-05-20,67.5,69.18000030517578,66.18000030517578,67.3499984741211,66.8115234375,2097320,59.541999626159665,71.7628881133548,47.321111138964525,0.4104964080455879,0.05038460278183126,True,67.3499984741211
2024-05-21,66.68000030517578,67.80000305175781,65.73999786376953,66.38999938964844,65.85919952392578,1820138,60.219499588012695,72.37819782234118,48.06080135368421,0.403812662593058,0.0342082747628535,True,66.38999938964844
2024-05-22,66.77999877929688,66.77999877929688,63.560001373291016,63.61000061035156,63.10142517089844,3091700,60.7399995803833,72.51879369849473,48.96120546227186,0.3878430753863731,0.0530127992797319,True,63.61000061035156
2024-05-23,63.599998474121094,64.73999786376953,63.08000183105469,63.88999938964844,63.379188537597656,2537109,61.181999588012694,72.72281112037848,49.64118805564691,0.3772616655251314,0.02713209839320264,True,63.88999938964844
2024-05-24,64.11000061035156,65.5,63.599998474121094,64.5199966430664,64.004150390625,1875900,61.74549942016601,72.7433847391967,50.747614101135326,0.35623277558068595,0.030771498226126064,True,64.5199966430664
